"id","first_name","last_name","canton","party_id","profession_id","branch_id","commissions"
3867,"Andreas","Aebi","BE",4,1,1,"4;35"
4049,"Matthias","Aebischer","BE",3,36,24,"5;536"
4053,"Thomas","Aeschi","ZG",4,9,8,"10;32"
1131,"Evi","Allemann","BE",3,4,11,"9;8"
4107,"Cesla","Amarelle","VD",3,22,15,"11;940"
4090,"Céline","Amaudruz","GE",4,5,4,"2;30;11"
1288,"Viola","Amherd","VS",2,4,11,"1;12;9;940"
1135,"Adrian","Amstutz","BE",4,6,9,"1;10;707"
4058,"Jacqueline","Badran","ZH",3,6,21,"7"
4138,"Guillaume","Barazzone","GE",2,39,27,"12"
1138,"Martin","Bäumle","ZH",31,48,16,"11;7"
350,"Maria","Bernasconi","GE",3,49,31,"3;34;971;975;976;1011"
4102,"Kathrin","Bertschy","BE",31,20,12,"10"
15,"Max","Binder","ZH",4,2,1,"3;9;971;976;333"
4030,"Prisca","Birrer-Heimo","LU",3,27,10,"10"
4050,"Thomas","Böhni","TG",31,28,13,"3"
26,"Roland F.","Borer","SO",4,6,8,"6;8"
28,"Toni","Bortoluzzi","ZH",4,33,35,"6;8"
3872,"Jacques","Bourgeois","FR",1,15,1,"7"
4067,"Heinz","Brand","GR",4,4,11,"12;11;940"
307,"Toni","Brunner","SG",4,1,1,"7;712"
4025,"Roland Rino","Büchel","SG",4,6,34,"1;29;4;940;712"
1104,"Jakob","Büchler","SG",2,1,1,"1;8;3;582"
453,"André","Bugnon","VD",4,51,1,"11;31;34;710"
4101,"Christine","Bulliard-Marbach","FR",2,1,1,"29;5"
4086,"Yannick","Buttet","VS",2,39,27,"7;30"
4070,"Martin","Candinas","GR",2,12,6,"9"
3830,"Marina","Carobbio Guscetti","TI",3,34,29,"2;30;6;28"
4075,"Andrea","Caroni","AR",1,22,11,"29;3;10;1"
3828,"Ignazio","Cassis","TI",1,34,29,"30;6;33;32"
4108,"Isabelle","Chevalley","VD",31,9,13,"12;5"
4007,"Max","Chopard-Acklin","AG",3,7,16,"7;940;707"
4135,"Raymond","Clottu","NE",4,5,4,"6"
1133,"Christophe","Darbellay","VS",2,39,27,"10;710"
1124,"Dominique","de Buman","FR",2,4,11,"10"
4051,"Thomas","de Courten","BL",4,6,12,"6"
4079,"Fathi","Derder","VD",1,9,8,"5;710;34"
4110,"Hans","Egloff","ZH",4,4,11,"10"
3875,"Corina","Eichenberger-Walther","AG",1,4,11,"3;8;971;974;976;1011;76"
3876,"Yvette","Estermann","LU",4,34,29,"1;4;3"
4056,"Daniel","Fässler","AI",2,39,27,"7;940"
405,"Jacqueline","Fehr","ZH",3,7,27,"6;29;4"
319,"Hans","Fehr","ZH",4,7,27,"11;8"
4077,"Olivier","Feller","VD",1,16,18,"2"
3877,"Doris","Fiala","ZH",1,45,7,"4;31"
4089,"Roland","Fischer","LU",31,20,12,"2;8;997"
4059,"Beat","Flach","AG",31,4,11,"12;8;536"
3878,"Sylvia","Flückiger-Bäni","AG",4,6,19,"10;940"
1122,"Kurt","Fluri","SO",1,39,27,"11;9"
3879,"Olivier","Français","VD",1,39,27,"9;333"
4042,"Sebastian","Frehner","BS",4,4,8,"6;536"
1127,"Oskar","Freysinger","VS",4,39,27,""
4074,"Pierre-Alain","Fridez","JU",3,34,29,"8;710"
4131,"Claudia","Friedl","SG",3,43,16,"4;712;709"
1125,"Chantal","Galladé","ZH",3,47,15,"8;5;582"
4071,"Urs","Gasche","BE",32,4,11,"2"
4104,"Josias F.","Gasser","GR",31,6,19,"9"
3880,"Andrea Martina","Geissbühler","BE",4,38,26,"3;8"
1117,"Jean-René","Germanier","VS",1,51,38,"10"
91,"Ulrich","Giezendanner","AG",4,6,37,"9"
3881,"Yvonne","Gilli","SG",13,34,29,"6;2"
3882,"Bastien","Girod","ZH",13,48,16,"7"
4093,"Balthasar","Glättli","ZH",13,39,21,"11;29;1"
4137,"Roger","Golay","GE",90,38,26,"8"
4116,"Petra","Gössi","SZ",1,4,11,"2;30;536;940;997"
3884,"Jean-Pierre","Graber","BE",4,46,15,"3"
806,"Maya","Graf","BL",13,1,1,"5;3"
1295,"Edith","Graf-Litscher","TG",3,49,36,"1;9;8"
3885,"Jean-Pierre","Grin","VD",4,1,1,"2;5;940;34"
97,"Andreas","Gross","ZH",3,22,15,"11;31;940"
4083,"Jürg","Grossen","BE",31,6,13,"9"
4087,"Jean-Paul","Gschwind","JU",2,52,29,"2;28"
4082,"Bernhard","Guhl","AG",32,28,13,"12;536"
4121,"Barbara","Gysi","SG",3,39,27,"2;997"
4076,"Philipp","Hadorn","SO",3,49,36,"2;333"
4061,"Thomas","Hardegger","ZH",3,13,18,"9"
473,"Hansjörg","Hassler","GR",32,1,1,"10"
4103,"Markus","Hausammann","TG",4,1,1,"2"
3887,"Alfred","Heer","ZH",4,6,23,"3;940;997;31"
1156,"Bea","Heim","SO",3,22,8,"11;6"
4129,"Verena","Herzog","TG",4,18,29,"5"
4094,"Lorenz","Hess","BE",32,39,7,"6"
3888,"Hugues","Hiltpold","GE",1,3,9,"3;8;35;997"
1103,"Gabi","Huber","UR",1,4,11,"1;9;12"
1071,"Ruth","Humbel","AG",2,4,11,"11;6;29"
3890,"Thomas","Hurter","SH",4,37,3,"9;8;582"
4031,"Maja","Ingold","ZH",7,39,27,"6"
4032,"Beat","Jans","BS",3,22,15,"7;10"
478,"Rudolf","Joder","BE",4,40,27,"11;3;971;975;976"
1293,"Francine","John-Calame","NE",13,35,11,"4"
3891,"Daniel","Jositsch","ZH",3,22,15,"12;2"
4098,"Peter","Keller","NW",4,29,22,"5;30"
4081,"Margrit","Kessler","SG",31,44,29,"3"
1147,"Margret","Kiener Nellen","BE",3,4,11,"12;2;33;35"
3892,"Hans","Killer","AG",4,46,9,"9;7"
4114,"Hansjörg","Knecht","AG",4,6,1,"7"
4008,"Martin","Landolt","GL",32,36,24,"11;9"
4099,"Markus","Lehmann","BS",2,10,2,"9"
1065,"Ueli","Leuenberger","GE",13,36,24,"3;11;997;76"
487,"Susanne","Leutenegger Oberholzer","BL",3,20,27,"12;10;709;712;536"
4118,"Christian","Lohr","TG",2,29,27,"6;30"
3895,"Christian","Lüscher","GE",1,4,11,"12;4;940"
490,"Ruedi","Lustenberger","LU",2,33,19,"3;333;971;976;1011"
4136,"Anne","Mahrer","GE",13,46,27,"9"
4117,"Thomas","Maier","ZH",31,25,4,"10"
4018,"Jacques-André","Maire","NE",3,9,27,"5;10;32"
1139,"Christa","Markwalder","BE",1,4,11,"12;29;4;1;708;27"
3923,"Ada","Marra","VD",3,39,27,"10;940;711"
4130,"Nadine","Masshardt","BE",3,7,27,"11"
4144,"Thomas","Matter","ZH",4,6,4,"10"
494,"Lucrezia","Meier-Schatz","SG",2,19,17,"10;33;712;709"
4140,"Giovanni","Merlini","TI",1,4,11,"12;711"
151,"Christian","Miesch","BL",4,6,19,"2"
4147,"Pierre-André","Monnard","NE",1,39,27,"7;1"
1346,"Isabelle","Moret","VD",1,4,11,"11;6"
542,"Christoph","Mörgeli","ZH",4,22,15,"4;5;940"
3897,"Tiana Angelina","Moser","ZH",31,48,27,"1;4"
4097,"Leo","Müller","LU",2,4,11,"2"
1137,"Walter","Müller","SG",1,1,1,"4;8;712;709"
1141,"Philipp","Müller","AG",1,6,9,"11;10"
1112,"Geri","Müller","AG",13,39,27,"4"
1345,"Thomas","Müller","SG",4,39,27,"2;29;12;709;333"
4063,"Stefan","Müller-Altermatt","SO",2,48,30,"7"
4134,"Martina","Munz","SH",3,22,15,"5"
1111,"Felix","Müri","LU",4,6,9,"7;5;33"
4106,"Martin","Naef","ZH",3,50,28,"4;707"
498,"Jacques","Neirynck","VD",2,29,22,"4;5;30;34"
3898,"Yves","Nidegger","GE",4,4,11,"12;536;710"
1279,"Roger","Nordmann","VD",3,39,27,"7;9"
1153,"Ruedi","Noser","ZH",1,6,32,"10"
3899,"Eric","Nussbaumer","BL",3,14,13,"4;7;32"
4073,"Roberta","Pantani","TI",18,5,4,"11"
4045,"Corrado","Pardini","BE",3,49,36,"10;711"
1108,"Guy","Parmelin","VD",4,51,1,"7;6"
3900,"Sylvie","Perrinjaquet","NE",1,39,27,"8"
4084,"Bruno","Pezzatti","ZG",1,32,1,"6"
1109,"Gerhard","Pfister","ZG",2,31,15,"11;4;31;940"
4065,"Nadja","Pieren","BE",4,6,14,"5"
4109,"Valérie","Piller Carrard","FR",3,21,10,"29;9"
4141,"Hans-Peter","Portmann","ZH",1,5,4,"5"
4066,"Rosmarie","Quadranti","ZH",32,21,10,"5;4;1;997"
4046,"Lorenzo","Quadri","TI",18,29,27,"9;30;711"
4072,"Fabio","Regazzi","TI",2,31,9,"9;30;940"
3901,"Lukas","Reimann","SG",4,4,11,"12;29;536;709"
173,"Maximilian","Reimann","AG",4,4,11,"29;4;31;707"
4091,"Mathias","Reynard","VS",3,22,15,"5"
3902,"Natalie Simone","Rickli","ZH",4,23,7,"12;9"
502,"Kathy","Riklin","ZH",2,24,20,"4;5;707;711;32"
1119,"Jean-François","Rime","FR",4,6,35,"10;32"
4052,"Markus","Ritter","SG",2,1,1,"1;10"
4120,"Marco","Romano","TI",2,9,8,"11;30;8"
504,"Stéphane","Rossini","VS",3,22,15,"3;6;1;27;708"
4100,"Albert","Rösti","BE",4,36,24,"7"
4143,"Rebecca Ana","Ruiz","VD",3,11,26,"12"
4048,"Pierre","Rusconi","TI",4,5,4,"4;30;711"
4125,"Gregor A.","Rutz","ZH",4,45,7,"11"
4095,"Regula","Rytz","BE",13,39,27,"9"
1318,"Louis","Schelbert","LU",13,36,24,"10"
1129,"Silvia","Schenker","BS",3,50,33,"11;6;940"
820,"Ernst","Schibli","ZH",4,1,1,"2"
4124,"Peter","Schilliger","LU",1,6,9,"7"
4122,"Urs","Schläfli","SO",2,1,1,"8"
3904,"Barbara","Schmid-Federer","ZH",2,31,25,"6;536"
4060,"Daniela","Schneeberger","BL",1,5,4,"2;11;707"
4123,"Ursula","Schneider Schüttel","FR",3,4,11,"12"
4040,"Elisabeth","Schneider-Schneiter","BL",2,4,11,"4;5;31"
4115,"Jean Christophe","Schwaab","VD",3,49,36,"29;12"
1159,"Pirmin","Schwander","SZ",4,9,8,"12;2;536;997;28"
354,"Silva","Semadeni","GR",3,22,15,"7"
4146,"Heinz","Siegenthaler","BE",32,36,24,"2"
1120,"Carlo","Sommaruga","GE",3,4,11,"4;536;1033"
514,"Jürg","Stahl","ZH",4,12,6,"5;6;1;27;708"
214,"Luzi","Stamm","AG",4,4,11,"12;4"
3865,"Jean-François","Steiert","FR",3,39,27,"6;5"
4126,"Daniel","Stolz","BS",1,50,29,"6"
4036,"Marianne","Streiff-Feller","BE",7,39,27,"11;3"
3907,"Adèle","Thorens Goumaz","VD",13,9,8,"7"
4113,"Manuel","Tornare","GE",3,36,24,"4;30;34;710"
4128,"Aline","Trede","BE",13,48,16,"8;5"
224,"Alexander","Tschäppät","BE",3,39,27,"3"
3829,"Andy","Tschümperlin","SZ",3,39,27,"3;1;11;940;333"
3924,"Christian","van Singer","VD",13,48,30,"6;8"
1123,"Pierre-François","Veillon","VD",4,26,1,"3;1011;76;33"
1110,"Daniel","Vischer","ZH",13,4,11,"2;12;536"
4054,"Albert","Vitali","LU",1,5,4,"2"
4085,"Karl","Vogler","OW",91,4,11,"12;7"
3908,"Alec","von Graffenried","BE",13,41,18,""
3910,"Erich","von Siebenthal","BE",4,1,1,"3;8"
3911,"Eric","Voruz","VD",3,39,27,"1;8;31"
519,"Hansjörg","Walter","TG",4,1,1,"10"
4142,"Beat","Walti","ZH",1,4,11,"9"
3912,"Christian","Wasserfallen","BE",1,28,19,"7;5"
3931,"Thomas","Weibel","ZH",31,39,27,"6;5"
4057,"Cédric","Wermuth","AG",3,39,27,"2;974"
4148,"Rudolf","Winkler","ZH",32,1,1,"8"
1142,"Walter","Wobmann","SO",4,17,19,"7;9"
